ID,Título,Precio,Moneda,Estado,Stock,Vendidos,Link
"MLU477663555","Arreglo Floral Artesanal En Canasta . Flores Secas","1380","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-477663555-arreglo-floral-artesanal-en-canasta-flores-secas-_JM"
"MLU478528904","Flores Secas Y Espigas Para Manualidades , Artesanias ","740","UYU","active","2","18","https://articulo.mercadolibre.com.uy/MLU-478528904-flores-secas-y-espigas-para-manualidades-artesanias-_JM"
"MLU476800390","Flores Secas","580","UYU","paused","2","10","https://articulo.mercadolibre.com.uy/MLU-476800390-flores-secas-_JM"
"MLU478769344","Flores Secas . 50 Unidades","550","UYU","paused","1","1","https://articulo.mercadolibre.com.uy/MLU-478769344-flores-secas-50-unidades-_JM"
"MLU478769320","Flores Secas 50 Unidades Tonos Amarillos","520","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-478769320-flores-secas-50-unidades-tonos-amarillos-_JM"
"MLU478769251","Flores Secas Colores Surtidos","450","UYU","active","2","12","https://articulo.mercadolibre.com.uy/MLU-478769251-flores-secas-colores-surtidos-_JM"
"MLU478987904","Ramo De Flores Secas Oferta X 2","880","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-478987904-ramo-de-flores-secas-oferta-x-2-_JM"
"MLU477661024","Flores Secas Pequeñas 160 Unidades . Manualidades . ","340","UYU","paused","2","5","https://articulo.mercadolibre.com.uy/MLU-477661024-flores-secas-pequenas-160-unidades-manualidades--_JM"
"MLU480094040","Ramo De Flores Secas","480","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-480094040-ramo-de-flores-secas-_JM"
"MLU480218239","5 Atados De Distintas Espigas","590","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-480218239-5-atados-de-distintas-espigas-_JM"
"MLU480218276","Espigas 3 Atados Diferentes","450","UYU","paused","2","6","https://articulo.mercadolibre.com.uy/MLU-480218276-espigas-3-atados-diferentes-_JM"
"MLU480515459","Ramo De Flores Secas Para Armar","620","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-480515459-ramo-de-flores-secas-para-armar-_JM"
"MLU480533743","Ramo De Flores Secas Para Armar","1500","UYU","active","3","3","https://articulo.mercadolibre.com.uy/MLU-480533743-ramo-de-flores-secas-para-armar-_JM"
"MLU480642130","Arreglo Flores Secas ","700","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-480642130-arreglo-flores-secas-_JM"
"MLU480670003","Flores Secas Siemprevivas 50 Unidades","400","UYU","active","5","19","https://articulo.mercadolibre.com.uy/MLU-480670003-flores-secas-siemprevivas-50-unidades-_JM"
"MLU480698476","Flores Secas Y Espigas Para Armar Ramitos ","780","UYU","active","2","96","https://articulo.mercadolibre.com.uy/MLU-480698476-flores-secas-y-espigas-para-armar-ramitos-_JM"
"MLU480906522","Flores Secas Prensadas ","520","UYU","active","1","5","https://articulo.mercadolibre.com.uy/MLU-480906522-flores-secas-prensadas-_JM"
"MLU480906288","Flores Secas Prensadas","420","UYU","paused","1","8","https://articulo.mercadolibre.com.uy/MLU-480906288-flores-secas-prensadas-_JM"
"MLU481045839","Flores Prensadas Mix ","400","UYU","paused","2","2","https://articulo.mercadolibre.com.uy/MLU-481045839-flores-prensadas-mix-_JM"
"MLU481045776","Flores Secas Prensadas Resina Manualidades","450","UYU","active","1","17","https://articulo.mercadolibre.com.uy/MLU-481045776-flores-secas-prensadas-resina-manualidades-_JM"
"MLU481205742","Flores Secas","100","UYU","paused","2","1","https://articulo.mercadolibre.com.uy/MLU-481205742-flores-secas-_JM"
"MLU481300998","Flores Secas Prensadas Variedad","550","UYU","active","1","13","https://articulo.mercadolibre.com.uy/MLU-481300998-flores-secas-prensadas-variedad-_JM"
"MLU481327576","Arreglo Flores Secas Centro De Mesa","750","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-481327576-arreglo-flores-secas-centro-de-mesa-_JM"
"MLU481401551","Flores Prensadas Tonos Azules","290","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-481401551-flores-prensadas-tonos-azules-_JM"
"MLU600075004","Flores Secas Oferta X 200 Unidades","480","UYU","active","2","13","https://articulo.mercadolibre.com.uy/MLU-600075004-flores-secas-oferta-x-200-unidades-_JM"
"MLU600067887","Flores Secas Oferta X 220 Unidades","450","UYU","paused","0","5","https://articulo.mercadolibre.com.uy/MLU-600067887-flores-secas-oferta-x-220-unidades-_JM"
"MLU600209028","Flores Secas  50 Unidades Tonos Rosa","400","UYU","paused","2","8","https://articulo.mercadolibre.com.uy/MLU-600209028-flores-secas-50-unidades-tonos-rosa-_JM"
"MLU600075736","Flores Secas Statice Blancas","650","UYU","paused","2","4","https://articulo.mercadolibre.com.uy/MLU-600075736-flores-secas-statice-blancas-_JM"
"MLU600877016","Flores Secas  Siemprevivas Pequeñas","400","UYU","paused","0","12","https://articulo.mercadolibre.com.uy/MLU-600877016-flores-secas-siemprevivas-pequenas-_JM"
"MLU601000728","Mix Hojas Secas Prensadas","260","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-601000728-mix-hojas-secas-prensadas-_JM"
"MLU601992650","Mix Flores Secas Prensadas ","540","UYU","paused","0","4","https://articulo.mercadolibre.com.uy/MLU-601992650-mix-flores-secas-prensadas-_JM"
"MLU602057532","Flores Secas Siemprevivas Con Tallo","480","UYU","active","1","5","https://articulo.mercadolibre.com.uy/MLU-602057532-flores-secas-siemprevivas-con-tallo-_JM"
"MLU600126043","Flores Secas 40 Unidades","480","UYU","active","2","21","https://articulo.mercadolibre.com.uy/MLU-600126043-flores-secas-40-unidades-_JM"
"MLU603126024","Flores Secas Gran Variedad En Contenedor","1190","UYU","active","1","5","https://articulo.mercadolibre.com.uy/MLU-603126024-flores-secas-gran-variedad-en-contenedor-_JM"
"MLU603119624","Flores Secas En Contenedor","1090","UYU","paused","0","8","https://articulo.mercadolibre.com.uy/MLU-603119624-flores-secas-en-contenedor-_JM"
"MLU603469561","Flores Secas Statice Rosada","585","UYU","paused","0","2","https://articulo.mercadolibre.com.uy/MLU-603469561-flores-secas-statice-rosada-_JM"
"MLU604417649","Flores Secas Prensadas Miniviolas","400","UYU","paused","0","5","https://articulo.mercadolibre.com.uy/MLU-604417649-flores-secas-prensadas-miniviolas-_JM"
"MLU603430531","Flores Secas Statice Rosadas Y Violetas","450","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-603430531-flores-secas-statice-rosadas-y-violetas-_JM"
"MLU604996298","Flores Secas Prensadas Pequeñas","440","UYU","paused","0","6","https://articulo.mercadolibre.com.uy/MLU-604996298-flores-secas-prensadas-pequenas-_JM"
"MLU604983435","Flores Secas Prensadas","400","UYU","paused","0","4","https://articulo.mercadolibre.com.uy/MLU-604983435-flores-secas-prensadas-_JM"
"MLU604729059","Flores Secas Statice De Varios Colores","650","UYU","paused","1","11","https://articulo.mercadolibre.com.uy/MLU-604729059-flores-secas-statice-de-varios-colores-_JM"
"MLU605386488","Espigas Secas 4 Atados Variados","590","UYU","active","1","16","https://articulo.mercadolibre.com.uy/MLU-605386488-espigas-secas-4-atados-variados-_JM"
"MLU604997389","Espigas De Trigo 2 Atados De 40 Unidades","380","UYU","active","4","24","https://articulo.mercadolibre.com.uy/MLU-604997389-espigas-de-trigo-2-atados-de-40-unidades-_JM"
"MLU606535007","Flores Secas Semillas Y Espigas Para Artesanías","850","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-606535007-flores-secas-semillas-y-espigas-para-artesanias-_JM"
